,id,duration,definition,rating,views,likes,categories
195,JxzZxdht-XY,PT2H56M24S,hd,{},1234997,30694,['Knowledge']
196,OAZQPvXiNRU,PT11M9S,hd,{},6275,87,['Knowledge']
197,JBziaJ3grFc,PT18M46S,hd,{},2599,79,"['Knowledge', 'Technology']"
198,ntgKH7KUaNM,PT11M14S,hd,{},2217,66,"['Knowledge', 'Technology']"
199,mkQSMCqW-Xo,PT17M31S,hd,{},21741,1126,['Knowledge']
200,0oSsLbh_Kv4,PT1H22M23S,hd,{},105459,3134,['Knowledge']
201,1UvTNMH7zDo,PT1H19M19S,hd,{},305877,4402,['Knowledge']
202,c0x_AaPjNCY,PT4H20M42S,hd,{},21886,900,['Knowledge']
203,OzLqQztKlXU,PT11M12S,hd,{},33550,621,['Knowledge']
204,_vCT42vDfgw,PT2H18M50S,hd,{},162118,5205,['Knowledge']
205,VY6MZGPKR5c,PT4M38S,hd,{},279041,5911,['Knowledge']
206,JD-age0BPVo,PT19M16S,hd,{},487627,11820,['Knowledge']
207,B38aDwUpcFc,PT2H22M23S,hd,{},416391,8158,['Knowledge']
208,3vfum74ggHE,PT16M42S,hd,{},396483,9998,['Knowledge']
209,ojOzGuu5MFo,PT15M23S,hd,{},20860,1370,"['Lifestyle_(sociology)', 'Technology']"
210,zuxzE7--RYM,PT26M16S,hd,{},1138614,19378,['Knowledge']
211,Tl0RsoMMSic,PT1H24M6S,hd,{},24843,568,['Knowledge']
